ssc_name_2016,study_region,dwelling,person,closest_pos,closest_pos_grt_1.5ha,local_employment
Abbotsbury,Sydney,1245,4247,170.348205,291.625889,36.13628731
Abbotsford (NSW),Sydney,2526,5389,199.1027635,258.1813847,20.09642286
Acacia Gardens,Sydney,1155,3792,254.188255,414.8847557,12.31875941
Airds,Sydney,1079,2906,173.3068685,173.3917297,50.09132592
Alexandria,Sydney,4255,8233,193.4379202,329.1618448,63.19734218
Alfords Point,Sydney,967,3114,191.0334148,213.6786852,21.85562349
Allambie Heights,Sydney,2449,6854,362.6980885,462.9306996,45.9073846
Allawah,Sydney,2218,5701,233.6925015,557.9750706,15.54435022
Ambarvale,Sydney,2548,7388,285.6970071,384.2218113,42.41972187
Annandale (NSW),Sydney,4336,9355,257.9770944,444.2005108,16.48075015
Appin (NSW),Sydney,511,1462,519.8881919,519.8881919,22.18815685
Arncliffe,Sydney,3913,10597,268.2377453,416.0879941,16.81185443
Artarmon,Sydney,4055,9503,163.0641021,370.5976479,27.87434309
Ashbury,Sydney,1185,3310,224.9165705,267.9907203,24.56530983
Ashcroft,Sydney,1217,3566,425.8210487,1099.006982,10.32074112
Ashfield (NSW),Sydney,9765,23726,231.7902596,382.4595539,17.94619524
Asquith,Sydney,1288,3378,213.8408558,421.9869848,34.29163419
Auburn (NSW),Sydney,11148,37228,304.8736237,599.0622131,23.95089423
Austral,Sydney,914,2552,1267.663323,1447.952538,36.09257394
Avalon Beach,Sydney,3868,9925,252.1070006,437.196974,54.17744641
Avoca Beach,Sydney,2250,4582,424.5512247,626.562213,66.56163206
Balgowlah,Sydney,3420,7971,349.6882836,442.7422373,24.82301317
Balgowlah Heights,Sydney,1103,3357,178.8398872,370.7853446,28.22537034
Balmain,Sydney,5014,10394,163.8672248,349.349657,20.57809907
Balmain East,Sydney,968,1938,50.73031045,161.9673906,23.20058024
Bangor (NSW),Sydney,1882,5551,186.4466906,240.1714644,25.30721862
Banksia,Sydney,1191,3403,298.1259299,445.8630508,18.89852962
Bankstown,Sydney,11113,31947,299.1331512,718.243088,29.73427276
Barangaroo,Sydney,148,184,98.28571429,98.28571429,82.60869565
Barden Ridge,Sydney,1267,4301,184.2057555,205.797133,28.21393658
Bardia,Sydney,508,1600,228.5332829,267.5437501,19.89417989
Bardwell Park,Sydney,851,2242,203.5779371,289.7753047,14.24698969
Bardwell Valley,Sydney,855,2319,254.7378862,285.5633088,20.57793561
Bargo,Sydney,1221,3255,704.1467087,1074.920273,34.72945085
Bass Hill,Sydney,3026,8993,344.0930553,451.6394209,30.68389364
Bateau Bay,Sydney,4950,11633,225.1573748,320.3861077,51.18580013
Baulkham Hills,Sydney,12896,36831,326.6282139,483.9571788,26.64252228
Bayview (NSW),Sydney,1673,3619,352.2930061,620.0469699,42.64808018
Beacon Hill,Sydney,2410,7487,177.8556546,254.9723461,47.73086545
Beaconsfield (NSW),Sydney,456,982,163.8461027,807.2098448,56.48112646
Beaumont Hills,Sydney,2628,9048,213.4547556,498.7007817,13.99410202
Beecroft,Sydney,3206,9411,352.1362458,481.4379192,17.85985044
Belfield,Sydney,2309,6323,261.2966803,338.7102369,18.08932846
Bella Vista,Sydney,2318,7735,346.4052154,655.2401977,31.33517668
Bellevue Hill,Sydney,4585,10446,367.1541962,543.6789659,32.85364943
Belmore,Sydney,4875,12680,413.9650098,680.7912824,19.34643397
Belrose,Sydney,3143,8736,160.7476869,225.2327744,44.13699335
Bensville,Sydney,868,2554,308.9041953,514.7975652,66.15476884
Berala,Sydney,2948,9064,304.4486681,828.383874,21.37111399
Berkeley Vale,Sydney,3218,8185,364.794901,382.9099244,51.98646686
Berowra,Sydney,1588,4723,247.5487459,255.0852404,36.33748397
Berowra Heights,Sydney,1803,5245,216.7639006,255.5296928,39.48166131
Beverley Park,Sydney,931,2378,215.1366364,452.1795412,23.48449675
Beverly Hills,Sydney,3656,10111,353.382596,695.4932092,16.57345522
Bexley,Sydney,6757,19724,255.9648708,448.8073739,21.53913026
Bexley North,Sydney,1579,4085,172.3966349,405.9202362,16.93109159
Bidwill (NSW),Sydney,1505,4280,236.1926959,563.7241402,34.08146006
Bilgola Beach,Sydney,127,251,310.5299373,331.0584413,49.69325153
Bilgola Plateau,Sydney,1269,3524,214.1658892,231.8540728,46.94173767
Birchgrove,Sydney,1502,3295,116.1296381,151.8466812,23.66720763
Birrong,Sydney,1012,3091,399.7001046,399.7001046,24.02115349
Blackett,Sydney,1195,3474,163.922256,198.8167945,29.72495477
Blackheath,Sydney,2726,4260,311.0007172,321.5818193,69.05709813
Blacktown,Sydney,16243,46257,270.1615603,560.6041931,24.35966419
Blackwall (NSW),Sydney,893,1885,180.7127195,290.9124469,55.15945202
Blair Athol (NSW),Sydney,826,2873,154.8754386,154.8754386,35.31755696
Blairmount,Sydney,125,411,195.5492729,243.5494105,42.10526316
Blakehurst,Sydney,2113,6136,223.4566678,443.9510699,21.48762051
Blaxland (NSW),Sydney,2818,7454,499.1169267,832.4057324,26.74625172
Bligh Park,Sydney,2332,6356,373.2770956,422.6871894,33.39084404
Blue Bay,Sydney,694,1035,254.1219864,698.9607239,53.87889134
Blue Haven,Sydney,2315,6360,256.2860649,560.1440822,54.86977118
Bondi,Sydney,5023,10003,286.819572,435.0883501,28.25616217
Bondi Beach,Sydney,6470,11675,204.3837172,439.274591,28.11615375
Bondi Junction,Sydney,4616,9448,325.5510684,448.8940995,28.73872846
Bonnet Bay,Sydney,774,2250,133.3313157,158.3094464,23.6806322
Bonnyrigg,Sydney,2688,8660,237.753307,302.3139358,28.61714174
Bonnyrigg Heights,Sydney,2009,7322,204.1539538,394.45741,26.85859023
Booker Bay,Sydney,740,1328,258.8240252,272.7279411,61.8899218
Bossley Park,Sydney,4401,14581,224.7250833,555.0059498,36.88675358
Botany,Sydney,4119,10738,288.3424004,334.0932547,29.11823233
Bow Bowing,Sydney,519,1609,209.5174201,479.595133,33.46753003
Bowen Mountain,Sydney,509,1474,1777.595094,1777.595094,13.23137243
Bradbury (NSW),Sydney,3283,8791,221.8713998,354.1791645,43.10349446
Breakfast Point,Sydney,2101,4192,146.8874819,151.274731,19.19159886
Brighton-le-Sands,Sydney,3967,8310,309.1428478,311.0107041,20.57499873
Bronte,Sydney,3018,6715,264.3227315,510.024476,29.50164315
Brookvale,Sydney,1424,3052,400.8084559,406.2291521,44.89396789
Budgewoi,Sydney,1643,3295,254.1277153,336.564474,59.09390045
Buff Point,Sydney,1523,3509,175.9253579,229.3108298,61.02674677
Bullaburra,Sydney,543,1235,605.9026462,1012.574896,51.4619083
Bundeena,Sydney,932,1930,147.2471651,182.199906,39.33363244
Bungarribee,Sydney,722,2630,250.8422406,279.4258346,14.98864497
Burraneer,Sydney,1233,3592,374.3160168,489.804304,47.29240506
Burwood (NSW),Sydney,6099,15940,325.2021433,568.029814,21.59433483
Burwood Heights,Sydney,321,979,545.0175048,766.0810893,24.95372781
Busby,Sydney,1376,4284,430.5843104,634.6018031,12.41258012
Buxton (NSW),Sydney,580,1717,549.8598491,2145.677192,33.78655585
Cabarita (NSW),Sydney,796,1963,106.9379273,130.2992448,23.02624595
