LGA,Cases
Alpine (S),707
Ararat (RC),672
Ballarat (C),7594
Banyule (C),11426
Bass Coast (S),2444
Baw Baw (S),4062
Bayside (C),10241
Benalla (RC),545
Boroondara (C),13312
Brimbank (C),31413
Buloke (S),241
Campaspe (S),1719
Cardinia (S),10254
Casey (C),40305
Central Goldfields (S),373
Colac-Otway (S),1186
Corangamite (S),775
Darebin (C),17308
East Gippsland (S),1865
Frankston (C),11239
Gannawarra (S),316
Glen Eira (C),15511
Glenelg (S),700
Golden Plains (S),1276
Greater Bendigo (C),6304
Greater Dandenong (C),19901
Greater Geelong (C),19628
Greater Shepparton (C),5874
Hepburn (S),637
Hindmarsh (S),269
Hobsons Bay (C),9848
Horsham (RC),1071
Hume (C),40980
Indigo (S),696
Interstate,3707
Kingston (C),14347
Knox (C),10756
Latrobe (C),5779
Loddon (S),182
Macedon Ranges (S),3002
Manningham (C),10970
Mansfield (S),461
Maribyrnong (C),11918
Maroondah (C),8577
Melbourne (C),22905
Melton (C),28237
Mildura (RC),3997
Mitchell (S),3333
Moira (S),1955
Monash (C),14934
Moonee Valley (C),15406
Moorabool (S),3163
Moreland (C),23491
Mornington Peninsula (S),12899
Mount Alexander (S),908
Moyne (S),852
Murrindindi (S),615
Nillumbik (S),5186
Northern Grampians (S),668
Overseas,697
Port Phillip (C),13699
Pyrenees (S),318
Queenscliffe (B),232
South Gippsland (S),1390
Southern Grampians (S),1010
Stonnington (C),12029
Strathbogie (S),420
Surf Coast (S),2594
Swan Hill (RC),1187
Towong (S),172
Unincorporated Vic,40
Unknown,4541
Wangaratta (RC),1622
Warrnambool (C),2445
Wellington (S),2070
West Wimmera (S),87
Whitehorse (C),11443
Whittlesea (C),31720
Wodonga (C),2617
Wyndham (C),39840
Yarra (C),12080
Yarra Ranges (S),10951
Yarriambiack (S),197
